[11:38:36] [KORSNING] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:41] [KORSNING] Fall: 1 | Cmd: l | Vinkelfel: 5
[11:38:46] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:47] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:47] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:47] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:47] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:47] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:48] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:48] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:48] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:48] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:48] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:38:51] [KORSNING] Fall: 1 | Cmd: f | Vinkelfel: 5
[11:38:56] [KORSNING] Fall: 1 | Cmd: r | Vinkelfel: 5
[11:39:01] [KORSNING] Fall: 1 | Cmd: f | Vinkelfel: 5
[11:39:06] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:07] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:07] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:07] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:07] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:08] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:08] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:08] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:08] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:08] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:11] [KORSNING] Fall: 1 | Cmd: v | Vinkelfel: 5
[11:39:16] [KORSNING] Fall: 1 | Cmd: f | Vinkelfel: 5
[11:39:21] [KORSNING] Fall: 1 | Cmd: r | Vinkelfel: 5
[11:39:26] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:27] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:27] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:27] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:27] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:28] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:28] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:28] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:28] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:28] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:28] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[11:39:31] [KORSNING] Fall: 1 | Cmd: f | Vinkelfel: 5
