[13:56:41] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 16
[13:56:41] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 12
[13:56:41] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 12
[13:56:41] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 16
[13:56:42] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -4
[13:56:42] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 0
[13:56:42] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:56:42] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -16
[13:56:42] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -36
[13:56:42] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -32
[13:56:51] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -36
[13:56:51] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -32
[13:56:51] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:56:51] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -32
[13:56:52] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -36
[13:56:52] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -16
[13:56:52] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:56:52] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 0
[13:56:52] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -4
[13:56:52] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 16
[13:57:01] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 16
[13:57:01] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -4
[13:57:01] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 0
[13:57:02] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:57:02] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -16
[13:57:02] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -36
[13:57:02] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -32
[13:57:02] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:57:02] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -32
[13:57:02] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -36
[13:57:11] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -32
[13:57:11] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -36
[13:57:12] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -32
[13:57:12] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:57:12] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 0
[13:57:12] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -4
[13:57:12] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 16
[13:57:12] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 12
[13:57:12] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 12
[13:57:12] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 16
[13:57:21] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:57:21] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -16
[13:57:22] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -36
[13:57:22] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -32
[13:57:22] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:57:22] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -16
[13:57:22] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -36
[13:57:22] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -36
[13:57:22] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:57:22] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -32
[13:57:31] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:57:31] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 0
[13:57:32] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -4
[13:57:32] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 0
[13:57:32] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 12
[13:57:32] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 0
[13:57:32] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 12
[13:57:32] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 0
[13:57:32] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -4
[13:57:32] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 0
[13:57:32] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: -20
[13:58:45] [KORSNING] Fall: 1 | Cmd: b | Vinkelfel: 5
[13:58:50] [KORSNING] Fall: 1 | Cmd: l | Vinkelfel: 5
[13:58:55] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
[13:58:55] [HINDER] Fall: 1 | Cmd: b | Vinkelfel: 5
