Start, h23 [ h11 | RD ], h05, hF1, hFF, h14, h00, h23, h01, hFF NACK, Error
Start, h22 [ h11 | WR ], h01, hBC, hBF NACK, h85, h00, h08 NACK, h80, hBF NACK, Error
Start, h23 [ h11 | RD ], h05, hF1, h7F NACK, h0A, h00, h11 NACK, h00 NACK, h3F NACK, Error
Start, h24 [ h12 | WR ], h05, hF1, hFF, h14, h00, h21 NACK, h00 NACK, h7F NACK, Error
Start, h21 [ h10 | RD ] NACK, h02 NACK, h78 NACK, h7F NACK, h05, h00, h08 NACK, h80, hBF NACK, Error
Start, h22 [ h11 | WR ], h01, hBC, hBF NACK, h85, h00, h08 NACK, h80, h5F NACK, Error
Start, h21 [ h10 | RD ] NACK, h02 NACK, h78 NACK, h7F NACK, h05, h00, h08 NACK, h80, hBF NACK, Error
Start, h24 [ h12 | WR ], h05, hF1, hFF, h14, h00, h23, h01, hFF, Stop
Start, h23 [ h11 | RD ], h05, hF1, h7F NACK, h0A, h00, h11 NACK, h00 NACK, h3F NACK, Error
Start, h24 [ h12 | WR ], h05, hF1, hFF, h0A, h00, h08 NACK, h80, hBF NACK, Error
Start, h23 [ h11 | RD ], h05, hFC, h9F NACK, hFC, h50, h00, h8C, h04 NACK, hFF, Error
Start, h24 [ h12 | WR ], h05, hF1, hFF NACK, h09, h00, h02, h60, h2F NACK, Error
Start, h23 [ h11 | RD ], h05, hF1, h7F NACK, h0A, h00, h11 NACK, h00 NACK, h7F NACK, Error
Start, h24 [ h12 | WR ], h05, hF1, hFF, h14, h00, h23, h01, hFF, Stop
Start, h21 [ h10 | RD ] NACK, h02 NACK, h3C, hBF NACK, h85, h00, h02, h18, h00, h2F NACK, Error
Start, h24 [ h12 | WR ], h05, hF1, hFF, h14, h00, h23, h01, hFF, Error
Restart, h21 [ h10 | RD ] NACK, h00 NACK, h5E, h5F NACK, hC2 NACK, h00, h04, h60, h00, h9F NACK, Error
Start, h24 [ h12 | WR ], h04 NACK, h78, hBF NACK, h85, h00, h08 NACK, h80, hBF NACK, Error
Start, h23 [ h11 | RD ], h05, h78 NACK, h3F NACK, h85, h00, h08 NACK, h80, hBF NACK, Error
Start, h24 [ h12 | WR ], h05, hF1, hFF, h12, h00, h08 NACK, h80, hBF NACK, Error
Restart, h23 [ h11 | RD ], h05, hF1, hFF, h14, h00, h23, h01, h7F NACK, Error
Start, h24 [ h12 | WR ], h02, hBC, hBF NACK, h85, h00, h08 NACK, h80, hBF NACK, Error
Start, h23 [ h11 | RD ], h05, h78 NACK, h7F NACK, h0A, h00, h02, h0C, h00, h09 NACK, hFF NACK, Error
Start, h24 [ h12 | WR ], h04 NACK, h7C, h5F NACK, hC2 NACK, h00, h02, h60, h2F NACK, hFE, Error
Start, h23 [ h11 | RD ], h05, hF1, hFF, h0A, h00, h11 NACK, h00 NACK, h7F NACK, hFF NACK, Stop
Start, h22 [ h11 | WR ], h01, hBC, hBF NACK, h85, h00, h08, hC0, h5F NACK, Error
Start, h23 [ h11 | RD ], h05, hF1, hFF, h14, h00, h23, h00 NACK, h7F NACK, Error
Start, h24 [ h12 | WR ], h05, hF0 NACK, h7F NACK, h0A, h00, h10 NACK, h80, h02 NACK, hFE, Error
Start, h23 [ h11 | RD ], h05, hF1, hFF, h14, h00, h23, h00 NACK, h7F NACK, Error
Start, h0C [ h06 | WR ], h60, h00, h57 NACK, h17 NACK, hF0 NACK, h40, h01, h30, h17 NACK, Error
Start, h21 [ h10 | RD ] NACK, h02 NACK, h78 NACK, h7F NACK, h05, h00, h08 NACK, h80, hBF NACK, Error
Start, h22 [ h11 | WR ], h02 NACK, h78 NACK, h7F NACK, h09, h00, h04, hC0, h5F NACK, hFF NACK, Error
